VRP name,Latitude,Longitude,Associated Aerodrome,ICAO
A1(M) JUNCTION 4,514645N,0001328W,LONDON LUTON,EGGW
A1/A57 CLUMBER INTERCHANGE,531747N,0010156W,"DONCASTER SHEFFIELD, RETFORD/GAMSTON","EGCN, EGNE"
A1/M18 WADWORTH INTERCHANGE,532845N,0010854W,DONCASTER SHEFFIELD,EGCN
AINTREE RACECOURSE,532836.00N,0025635.00W,LIVERPOOL,EGGP
ALDERBURY,510255N,0014350W,OLD SARUM,EGLS
ALDERLEY EDGE HILL,531743.00N,0021244.00W,MANCHESTER,EGCC
ALDERNEY LIGHTHOUSE,494344.83N,0020951.24W,"GUERNSEY, JERSEY","EGJB, EGJJ"
ALEXANDRIA,555920.00N,0043435.00W,GLASGOW,EGPF
ALLY PALLY,513539.79N,0000746.90W,"LONDON CITY, LONDON HEATHROW","EGLC, EGLL"
ALSTON,544834N,0022638W,CARLISLE,EGNC
ALTON,510907N,0005758W,FARNBOROUGH,EGLF
ANNAN,545923N,0031521W,CARLISLE,EGNC
ARDMORE POINT,555817.00N,0044157.00W,GLASGOW,EGPF
ARSENAL,513317.94N,0000630.56W,LONDON CITY,EGLC
ARTHUR'S SEAT,555638.00N,0030942.00W,EDINBURGH,EGPH
ASCOT,512514.57N,0003933.07W,LONDON HEATHROW,EGLL
ATTLEBRIDGE,524136N,0010631E,NORWICH,EGSH
AUDLEY END RAILWAY STATION,520015N,0001225E,LONDON STANSTED,EGSS
AXMINSTER,504654N,0025954W,EXETER,EGTE
AYLSHAM,524704N,0011519E,NORWICH,EGSH
BAGSHOT,512057N,0004157W,"FARNBOROUGH, LONDON HEATHROW","EGLF, EGLL"
BAILLIESTON,555110.00N,0040522.00W,GLASGOW,EGPF
BALLYMENA,545148.00N,0061624.00W,BELFAST ALDERGROVE,EGAA
BAMPTON,514330.00N,0013248.00W,BRIZE NORTON (ENR 2.1),EGVN
BANBURY RESERVOIR,513616N,0000206W,LONDON CITY,EGLC
BANCHORY,570300.00N,0023006.00W,ABERDEEN/DYCE,EGPD
BARRHEAD,554800.00N,0042330.00W,GLASGOW,EGPF
BARROW TANKS RESERVOIRS,512423.04N,0023945.86W,BRISTOL,EGGD
BATH RACECOURSE,512501.44N,0022414.51W,BRISTOL,EGGD
BATHGATE,555410.00N,0033825.00W,EDINBURGH,EGPH
BEAULIEU DISUSED AD,504815N,0013014W,"BOURNEMOUTH, SOUTHAMPTON","EGHH, EGHI"
BECKTON ROUNDABOUT,513131N,0000424E,LONDON CITY,EGLC
BEESTON CASTLE,530742N,0024131W,HAWARDEN,EGNR
BELAIR PARK,512635.83N,0000522.34W,LONDON CITY,EGLC
BERNERS LAKE,514549.40N,0001810.79E,LONDON STANSTED,EGSS
BILLERICAY LAKE MEADOWS PARK,513800N,0002500E,SOUTHEND,EGMC
BILLINGSHURST,510054.00N,0002700.00W,LONDON GATWICK,EGKK
BISHOP WOOD,534833.26N,0010931.17W,LEEDS EAST,EGCM
BISHOPS WALTHAM,505717.00N,0011235.00W,SOUTHAMPTON,EGHI
BISHOPTON,555408.00N,0043006.00W,GLASGOW,EGPF
BLAGDON LAKE,512014.00N,0024247.00W,BRISTOL,EGGD
BLAYDON,545806.00N,0014137.00W,NEWCASTLE,EGNT
BLYTH WINDFARM,550724N,0012937W,NEWCASTLE,EGNT
BODAM,595506N,0011606W,SUMBURGH,EGPB
BOLAM LAKE,550753.00N,0015228.00W,NEWCASTLE,EGNT
BORRAS QUARRY,530405.57N,0025705.71W,HAWARDEN,EGNR
BOTTESFORD DISUSED,525753.00N,0004654.00W,EAST MIDLANDS,EGNX
BRAE,602349N,0012114W,SCATSTA,EGPM
BRAINTREE,515242.00N,0003314.00E,LONDON STANSTED,EGSS
BRENT RESERVOIR,513401.07N,0001521.93W,"LONDON CITY, LONDON HEATHROW","EGLC, EGLL"
BRIGG,533312N,0002912W,HUMBERSIDE,EGNJ
BRIGHTON MARINA,504839N,0000603W,SHOREHAM,EGKA
BROUGHTY CASTLE,562745N,0025211W,DUNDEE,EGPN
BRUNDALL,523704N,0012600E,NORWICH,EGSH
BUCKLAND,511424N,0001445W,REDHILL,EGKR
BULLINGTON CROSS,511030.61N,0012021.49W,SOUTHAMPTON,EGHI
BUNCRANA,550800N,0072724W,LONDONDERRY/EGLINTON,EGAE
BURFORD,514824.00N,0013812.00W,BRIZE NORTON (ENR 2.1),EGVN
BURGESS PARK,512905.58N,0000446.37W,LONDON CITY,EGLC
BURLTON GATE,525000.49N,0024817.86W,SLEAP,EGCV
BURNHAM,513108.45N,0004037.87W,LONDON HEATHROW,EGLL
BURTONWOOD,532500.00N,0023817.00W,"LIVERPOOL, MANCHESTER","EGGP, EGCC"
BUTSER HILL MAST,505836N,0005856W,SOUTHAMPTON,EGHI
BUXTON,531521.00N,0015446.00W,MANCHESTER,EGCC
BYFLEET BRIDGE,512023.47N,0002906.69W,LONDON HEATHROW,EGLL
CAISTOR,532946N,0001906W,HUMBERSIDE,EGNJ
CALSHOT,504904.00N,0011945.00W,SOUTHAMPTON,EGHI
CANAL BEND,513902N,0002537W,ELSTREE,EGTR
CANFIELD A120/B1256 INT,515213.72N,0001923.17E,LONDON STANSTED,EGSS
CAP DE LA HAGUE,494300N,0015600W,"GUERNSEY, JERSEY","EGJB, EGJJ"
CARDIFF DOCKS,512724.00N,0030906.00W,"CARDIFF, ST ATHAN","EGFF, EGSY"
CARROWKEEL,550730N,0071142W,LONDONDERRY/EGLINTON,EGAE
CARTERET LIGHTHOUSE,492224.00N,0014824.00W,"GUERNSEY, JERSEY","EGJB, EGJJ"
CASQUETS LIGHTHOUSE,494324.00N,0022242.00W,"GUERNSEY, JERSEY","EGJB, EGJJ"
CASTLETOWN AERODROME (DISUSED),583507N,0032101W,WICK,EGPC
CHARLBURY,515218.00N,0012854.00W,BRIZE NORTON (ENR 2.1),EGVN
CHEDDAR RESERVOIR,511647.00N,0024805.00W,BRISTOL,EGGD
CHELMSFORD,514400.00N,0002824.00E,LONDON STANSTED,EGSS
CHESTER (A55(T)/A51(T)),531142N,0025038W,"HAWARDEN, LIVERPOOL","EGNR, EGGP"
CHEW VALLEY,511930.00N,0023542.00W,BRISTOL,EGGD
CHIPPENHAM,512736.00N,0020724.00W,BRISTOL,EGGD
CHIPPING ONGAR A414/B184 INT,514245.56N,0001442.02E,LONDON STANSTED,EGSS
CHURCH BROUGHTON DISUSED,525310.00N,0014154.00W,EAST MIDLANDS,EGNX
CHURCHILL,512000.00N,0024736.00W,BRISTOL,EGGD
CLATWORTHY RESERVOIR,510422.78N,0032209.18W,"CARDIFF, ST ATHAN","EGFF, EGSY"
CLAUDY,545442N,0070912W,LONDONDERRY/EGLINTON,EGAE
CLEVEDON,512621.00N,0025105.00W,BRISTOL,EGGD
CLIFTON SUSPENSION BRIDGE,512718.00N,0023740.00W,BRISTOL,EGGD
CLUNTOE (DISUSED AD),543714.00N,0063202.00W,BELFAST ALDERGROVE,EGAA
